Title,Year,Full_Title,Rating,Recently_Added,Order
The Shawshank Redemption,1994,The Shawshank Redemption (1994),nan,0,1
The Dark Knight,2008,The Dark Knight (2008),nan,0,2
Inception,2010,Inception (2010),nan,0,3
Fight Club,1999,Fight Club (1999),nan,0,4
Pulp Fiction,1994,Pulp Fiction (1994),nan,0,5
Forrest Gump,1994,Forrest Gump (1994),nan,0,6
The Matrix,1999,The Matrix (1999),nan,0,7
The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),nan,0,8
The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),nan,0,9
The Godfather,1972,The Godfather (1972),nan,0,10
The Dark Knight Rises,2012,The Dark Knight Rises (2012),nan,0,11
The Lord of the Rings: The Two Towers,2002,The Lord of the Rings: The Two Towers (2002),nan,0,12
Interstellar,2014,Interstellar (2014),nan,0,13
Se7en,1995,Se7en (1995),nan,0,14
Django Unchained,2012,Django Unchained (2012),nan,0,15
Gladiator,2000,Gladiator (2000),nan,0,16
Batman Begins,2005,Batman Begins (2005),nan,0,17
The Avengers,2012,The Avengers (2012),nan,0,18
The Silence of the Lambs,1991,The Silence of the Lambs (1991),nan,0,19
Inglourious Basterds,2009,Inglourious Basterds (2009),nan,0,20
Star Wars: Episode IV - A New Hope,1977,Star Wars: Episode IV - A New Hope (1977),nan,0,21
Saving Private Ryan,1998,Saving Private Ryan (1998),nan,0,22
Schindler's List,1993,Schindler's List (1993),nan,0,23
The Departed,2006,The Departed (2006),nan,0,24
The Prestige,2006,The Prestige (2006),nan,0,25
Star Wars: Episode V - The Empire Strikes Back,1980,Star Wars: Episode V - The Empire Strikes Back (1980),nan,0,26
The Wolf of Wall Street,2013,The Wolf of Wall Street (2013),nan,0,27
Avatar,2009,Avatar (2009),nan,0,28
The Green Mile,1999,The Green Mile (1999),nan,0,29
Memento,2000,Memento (2000),nan,0,30
The Godfather: Part II,1974,The Godfather: Part II (1974),nan,0,31
Shutter Island,2010,Shutter Island (2010),nan,0,32
American Beauty,1999,American Beauty (1999),nan,0,33
Guardians of the Galaxy,2014,Guardians of the Galaxy (2014),nan,0,34
Titanic,1997,Titanic (1997),nan,0,35
American History X,1998,American History X (1998),nan,0,36
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Pirates of the Caribbean: The Curse of the Black Pearl (2003),nan,0,37
V for Vendetta,2005,V for Vendetta (2005),nan,0,38
Back to the Future,1985,Back to the Future (1985),nan,0,39
Léon: The Professional,1994,Léon: The Professional (1994),nan,0,40
Goodfellas,1990,Goodfellas (1990),nan,0,41
Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),nan,0,42
Kill Bill: Vol. 1,2003,Kill Bill: Vol. 1 (2003),nan,0,43
WALL·E,2008,WALL·E (2008),nan,0,44
The Usual Suspects,1995,The Usual Suspects (1995),nan,0,45
Braveheart,1995,Braveheart (1995),nan,0,46
Star Wars: Episode VI - Return of the Jedi,1983,Star Wars: Episode VI - Return of the Jedi (1983),nan,0,47
Finding Nemo,2003,Finding Nemo (2003),nan,0,48
Iron Man,2008,Iron Man (2008),nan,0,49
The Lion King,1994,The Lion King (1994),nan,0,50
Up,2009,Up (2009),nan,0,51
The Truman Show,1998,The Truman Show (1998),nan,0,52
The Sixth Sense,1999,The Sixth Sense (1999),nan,0,53
Reservoir Dogs,1992,Reservoir Dogs (1992),nan,0,54
One Flew Over the Cuckoo's Nest,1975,One Flew Over the Cuckoo's Nest (1975),nan,0,55
